ID,Эпик,Задача,Описание,Роль,Фаза,Начало,Срок,"Оценка, дни",Приоритет,Зависит от,Метки
BYT-1,Подготовка (фаза 0),Финализировать дизайн-док v1.0 и принять решения по разделу 18,"Название, 1 или 2 разработчика, хостинг, юрист, монетизация, лиги. Зафиксировать в CHANGELOG дока.",Вся команда,Фаза 0,2026-09-22,2026-09-25,2,Highest,,decision
BYT-2,Подготовка (фаза 0),Спецификации подтипов для 27 заданий (таблицы параметров),"Из Приложения A → YAML/таблица: подтипы, параметры генерации, формат ответа, target_seconds. Основа для egegen.",Методист,Фаза 0,2026-09-22,2026-10-05,8,Highest,,content
BYT-3,Подготовка (фаза 0),UI-кит поверх Telegram UI и макеты 8 ключевых экранов,"Сегодня, Задача, Путь, Прогресс, Уверенность, Профиль, Онбординг, Куратор. Светлая/тёмная тема.",Дизайнер,Фаза 0,2026-09-22,2026-10-05,8,High,,design
BYT-4,Платформа и инфраструктура,"Репозиторий, CI, окружения dev/stage/prod","Монорепо (client, api, egegen, bot), GitHub Actions: линт, тесты, сборка, деплой на stage по merge.",Лид (full-stack),Фаза 0,2026-09-22,2026-09-28,3,Highest,,infra
BYT-5,Платформа и инфраструктура,"Домен, HTTPS, VPS в РФ, PostgreSQL 16, Redis, S3","Развернуть базовую инфраструктуру, бэкапы БД по расписанию, мониторинг (uptime, логи).",Лид (full-stack),Фаза 0,2026-09-26,2026-10-02,3,Highest,BYT-4,infra
BYT-6,"Авторизация, бот и Telegram SDK","Создать бота в BotFather, зарегистрировать Mini App","Бот, меню, кнопка запуска Mini App, тестовое окружение Telegram.",Лид (full-stack),Фаза 0,2026-09-29,2026-09-30,1,High,,telegram
BYT-7,"Безопасность, право, надёжность","Юридический чек-лист: 152-ФЗ, политика, несовершеннолетние",Консультация юриста; список обязательных документов и согласий; минимизация данных.,Лид (full-stack),Фаза 0,2026-09-22,2026-10-05,2,High,,legal
BYT-8,Клиент: экраны и UX,Прототип «Сегодня → задача → ответ → монеты» на моках,"React+TS+Vite, @telegram-apps/sdk, без бэкенда. Веха «Прототип» 5 октября.",Лид (full-stack),Фаза 0,2026-09-29,2026-10-05,4,Highest,"BYT-3,BYT-6",milestone
BYT-9,"Авторизация, бот и Telegram SDK",Авторизация: проверка initData (HMAC) + выдача JWT,"Эндпоинт /auth/telegram, валидация подписи, срок жизни, обновление токена. Тесты.",Лид (full-stack),Фаза 1,2026-10-06,2026-10-08,2,Highest,BYT-6,backend
BYT-10,Платформа и инфраструктура,Схема БД v1 и миграции (Alembic),"Таблицы из раздела 13: users, skills, instances, attempts, wallet, transactions, streaks, daily_plans, notifications.",Лид (full-stack),Фаза 1,2026-10-06,2026-10-09,3,Highest,BYT-5,backend
BYT-11,Генераторы egegen (27 заданий),"Каркас пакета egegen: интерфейс Instance/Generator, чекеры, property-тесты","Базовые классы, реестр генераторов, чекеры (int, letters, pairs_list), hidden_seed, CLI для выпуска экземпляров.",Разработчик генераторов,Фаза 1,2026-10-06,2026-10-09,3,Highest,BYT-2,egegen
BYT-12,Генераторы egegen (27 заданий),Генератор 1 · Граф и таблица,"Библиотека топологий, решатель по всем изоморфным сопоставлениям, инвариантность ответа. 3 дня.",Разработчик генераторов,Фаза 1,2026-10-12,2026-10-14,3,High,BYT-11,"egegen,generator"
BYT-13,Генераторы egegen (27 заданий),Генератор 4 · Условие Фано,"Прямое и обратное Фано, единственность по (мин. длина, мин. значение). 3 дня.",Разработчик генераторов,Фаза 1,2026-10-15,2026-10-19,3,High,BYT-11,"egegen,generator"
BYT-14,Генераторы egegen (27 заданий),Генератор 7 · Объём графики и звука,"Целочисленные параметры (степени двойки), подтипы «во сколько раз», палитра, сжатие. 3 дня.",Разработчик генераторов,Фаза 1,2026-10-20,2026-10-22,3,High,BYT-11,"egegen,generator"
BYT-15,Генераторы egegen (27 заданий),Генератор 2 · Таблица истинности,"Грамматика формул, проверка единственной перестановки, пустые ячейки. 4 дня.",Разработчик генераторов,Фаза 1,2026-10-23,2026-10-28,4,High,BYT-11,"egegen,generator"
